Tipo de actividad,Fecha,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Pasos,Temperatura mínima,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-08-07 09:05:58,10.31,609,00:52:51,146,157,3.3,173,183,5:08,4:29,74,66,1.13,"9,142",22.0,00:01:46.4,11,26.0,00:52:49,00:52:51,"2,566","2,593"
Carrera,2025-08-06 08:45:44,10.03,607,00:52:42,148,164,3.2,173,183,5:15,4:09,67,68,1.10,"9,098",21.0,00:00:09.8,11,25.0,00:52:39,00:52:42,"2,564","2,585"
Carrera,2025-08-03 08:40:21,20.51,"1,289",01:39:46,161,183,5.0,176,185,4:52,3:44,139,171,1.17,"17,484",19.0,00:02:28.8,21,28.0,01:39:40,01:39:46,"2,531","2,578"
Carrera,2025-08-01 07:20:28,8.03,486,00:40:51,147,162,3.4,174,185,5:05,4:31,36,70,1.13,"7,102",18.0,00:00:08.6,9,23.0,00:40:48,00:40:51,"2,532","2,584"
Carrera,2025-07-30 07:20:58,10.02,582,00:51:34,143,158,3.1,176,187,5:09,4:25,70,83,1.10,"9,08",19.0,00:00:07.6,11,25.0,00:51:31,00:51:34,"2,547","2,582"
